城 市,年份,index,Innt,Innp,Inns,open,pgdp,une,gov,hc,consum,infra,str
  毕节市,2021.0,249.11,0.33447000000000005,0.0137,0.1843,0.0028415841584158415,7.61085279039525,12.795066914318454,0.06532673267326733,1.463093352089563,0.4455254455445545,2.7936160894318567,2.2539
  铜仁市,2021.0,261.58,0.31058,0.16438,0.24914999999999998,0.00454066265060241,7.191429330036379,12.3390288727788,0.04869728915662651,1.8095175241497585,0.47709367469879516,4.430816798843313,2.3139999999999996
  昆明市,2021.0,308.44,0.90102,0.8732899999999999,0.79522,0.07882536382536381,8.814924599721019,13.934507967081753,0.0965948915948916,4.2455781342818195,0.45596017226017227,3.7309806301325716,2.5951
  保山市,2021.0,273.69,0.06485,0.10958999999999999,0.13993,0.008717948717948718,6.959398512133975,11.968031169178852,0.06224121557454891,0.7709412079999655,0.40630645773979107,3.8577779905757503,2.1652
  昭通市,2021.0,260.28,0.06143,0.0034200000000000003,0.13652,0.0014895267649340574,7.161622002939187,12.43814818758304,0.06595034910783554,0.4645512922340011,0.3379020170674942,2.6326080059353516,2.2747
  丽江市,2021.0,251.15,0.17406,0.57877,0.11945,0.0059844054580896686,6.240275845170769,11.280186019982573,0.0841130604288499,0.9349554571033103,0.4552953216374269,3.260401571696699,2.3743999999999996
  普洱市,2021.0,273.38,0.21843,0.2637,0.047779999999999996,0.018613756613756614,6.851184927493743,11.870026318196722,0.0542962962962963,0.055813064819212686,0.30930148148148146,2.0476928433652555,2.2603
  临沧市,2021.0,254.34,0.11603999999999999,0.13699,0.09555999999999999,0.023605359317904993,6.710523109452428,11.823178388472382,0.05836784409257004,0.1650058345842667,0.38614409257003657,2.0068708488450007,2.1631
  拉萨市,2021.0,249.13,0.63481,0.96233,0.30717,0.0164306784660767,6.519147287940395,12.064526362165061,0.1582005899705015,0.818369145313327,0.5447684365781711,2.733067964077498,2.5054999999999996
  林芝市,2021.0,284.67,0.047779999999999996,0.71918,0.00683,5.2356020942408376e-05,5.25227342804663,10.390532647636716,0.07486910994764398,-0.5108256237659907,0.2691324607329843,0.02955880224154443,2.487
  西安市,2021.0,261.11,0.9727,0.94178,0.9419799999999999,0.1772435129740519,9.212338374638856,14.574299400977608,0.07226946107784431,4.361687438450338,0.49793740518962076,4.315619702476283,2.6055
  铜川市,2021.0,234.18,0.1058,0.54795,0.39932,0.006230366492146596,5.945420608606575,11.598166943279493,0.06547120418848168,-0.4176389090398732,0.34843874345549736,2.0781907597781832,2.4894
  宝鸡市,2021.0,286.17,0.58703,0.56507,0.39590000000000003,0.015590689503732982,7.7306140660637395,12.84599308485086,0.03905577514273167,1.5336577737581134,0.3521925340360123,3.802654468372781,2.2662000000000004
  咸阳市,2021.0,317.65,0.6450499999999999,0.53082,0.62457,0.021755102040816324,7.6984827878809465,13.026660520512447,0.041147392290249434,2.7013477900425347,0.37921809523809524,3.8418151103846494,2.2508
  渭南市,2021.0,279.35,0.61433,0.42466000000000004,0.53242,0.007202572347266881,7.531552381407289,12.94919024586476,0.0407449088960343,0.510245455500925,0.339537513397642,3.6617651616223643,2.2508
  延安市,2021.0,282.02,0.41638,0.5411,0.13311,0.0005559025608994378,7.3783837129967145,12.727574079499796,0.10233603997501561,1.0244632900317876,0.24022585883822611,2.7806808921371173,2.2092
